,Game_Name,Rating,#Reviews,Rabatt%,OrdinariePris,Sale Price,Release_Year,Win,linux,OSX,Date
0,EA SPORTS™ FIFA 23 ,2,"#37,537",-60%,"69,99€","27,99€            ","29 Sep, 2022",1,0,0,20 Dec 2022
1,UNCHARTED™: Legacy of Thieves Collection ,4,"#4,502",-30%,"49,99€","34,99€            ","19 Oct, 2022",1,0,0,20 Dec 2022
2,Cities: Skylines ,4,"#159,201",-70%,"27,99€","8,39€             ","10 Mar, 2015",1,1,1,20 Dec 2022
3,God of War ,5,"#55,073",-40%,"49,99€","29,99€            ","14 Jan, 2022",1,0,0,20 Dec 2022
4,Deep Rock Galactic ,5,"#138,205",-67%,"29,99€","9,90€             ","13 May, 2020",1,0,0,20 Dec 2022
5,Assassin's Creed Valhalla ,2,"#2,691",-67%,"59,99€","19,80€            ","6 Dec, 2022",1,0,0,20 Dec 2022
6,Sonic Frontiers ,5,"#10,273",-30%,"59,99€","41,99€            ","7 Nov, 2022",1,0,0,20 Dec 2022
7,FINAL FANTASY VII REMAKE INTERGRADE ,4,"#9,345",-43%,"79,99€","45,59€            ","17 Jun, 2022",1,0,0,20 Dec 2022
8,Hearts of Iron IV ,4,"#151,803",-75%,"39,99€","9,99€             ","6 Jun, 2016",1,1,1,20 Dec 2022
9,Detroit: Become Human ,4,"#58,984",-50%,"39,90€","19,95€            ","18 Jun, 2020",1,0,0,20 Dec 2022
10,House Flipper ,4,"#60,995",-80%,"20,99€","4,19€             ","17 May, 2018",1,0,1,20 Dec 2022
11,Wartales ,4,"#7,600",-25%,"34,99€","26,24€            ","1 Dec, 2021",1,0,0,20 Dec 2022
12,Dying Light 2 Stay Human ,3,"#92,573",-50%,"59,99€","29,99€            ","3 Feb, 2022",1,0,0,20 Dec 2022
13,Days Gone ,4,"#31,937",-67%,"49,99€","16,49€            ","17 May, 2021",1,0,0,20 Dec 2022
14,New World ,2,"#211,222",-50%,"39,99€","19,99€            ","28 Sep, 2021",1,0,0,20 Dec 2022
15,The Flipper Bundle ,4,"#62,778",-57%,"75,11€","32,09€            ",,1,0,1,20 Dec 2022
16,Mount & Blade II: Bannerlord ,4,"#166,279",-30%,"49,99€","34,99€            ","25 Oct, 2022",1,0,0,20 Dec 2022
17,Anno 1800 ,3,"#4,474",-67%,"59,99€","19,80€            ",Apr 2019,1,0,0,20 Dec 2022
18,Immortals Fenyx Rising ,2,#178,-75%,"59,99€","15,--€            ","15 Dec, 2022",1,0,0,20 Dec 2022
19,Divinity: Original Sin 2 - Definitive Edition ,5,"#134,462",-65%,"44,99€","15,74€            ","14 Sep, 2017",1,0,1,20 Dec 2022
20,Assassin's Creed® Odyssey ,4,"#117,408",-75%,"59,99€","14,99€            ","5 Oct, 2018",1,0,0,20 Dec 2022
21,My Friend Pedro ,5,"#21,434",-75%,"19,50€","4,87€             ","20 Jun, 2019",1,0,0,20 Dec 2022
22,Hearts of Iron IV: Ultimate Bundle ,4,"#164,995",-56%,"190,86","€84,19€           ",,1,1,1,20 Dec 2022
23,Planet Zoo ,4,"#53,282",-75%,"44,99€","11,24€            ","5 Nov, 2019",1,0,0,20 Dec 2022
24,NBA 2K23 ,2,"#9,420",-50%,"79,99€","39,99€            ","8 Sep, 2022",1,0,0,20 Dec 2022
25,Deep Rock Galactic: Dwarven Legacy ,5,"#141,081",-66%,"110,90","€37,73€           ",,1,0,0,20 Dec 2022
26,Orcs Must Die! 3 ,4,"#6,820",-75%,"24,99€","6,24€             ","23 Jul, 2021",1,0,0,20 Dec 2022
27,Dying Light ,5,"#256,165",-70%,"29,99€","8,99€             ","21 Apr, 2016",1,1,1,20 Dec 2022
28,Vampire Survivors: Legacy of the Moonspell ,5,"#1,099",-10%,"1,99€1",",79€              ","15 Dec, 2022",1,0,1,20 Dec 2022
29,Cities: Skylines - New Player Bundle ,4,"#161,217",-57%,"70,96€","30,74€            ",,1,1,1,20 Dec 2022
30,Construction Simulator ,4,"#3,308",-20%,"39,99€","31,99€            ","20 Sep, 2022",1,0,0,20 Dec 2022
31,Hunt: Showdown - Starter Hunter Edition ,4,"#115,828",-57%,"56,97€","24,70€            ",,1,0,0,20 Dec 2022
32,Marvel’s Spider-Man Remastered ,5,"#36,310",-25%,"59,99€","44,99€            ","12 Aug, 2022",1,0,0,20 Dec 2022
33,TRIANGLE STRATEGY ,3,#710,-40%,"59,99€","35,99€            ","13 Oct, 2022",1,0,0,20 Dec 2022
34,House Flipper - Pets DLC ,4,#313,-30%,"14,79€","10,35€            ","12 May, 2022",1,0,1,20 Dec 2022
35,OCTOPATH TRAVELER™ ,4,"#9,021",-60%,"59,99€","23,99€            ","7 Jun, 2019",1,0,0,20 Dec 2022
36,PGA TOUR 2K23 x NBA 2K23 Bundle ,2,"#10,070",-50%,"79,99€","39,99€            ","13 Dec, 2022",1,0,0,20 Dec 2022
37,Frostpunk ,4,"#70,765",-75%,"29,99€","7,49€             ","24 Apr, 2018",1,0,1,20 Dec 2022
38,Assassin's Creed® Origins ,4,"#76,992",-80%,"59,99€","11,99€            ","26 Oct, 2017",1,0,0,20 Dec 2022
39,Len's Island ,4,"#1,747",-40%,"20,99€","12,59€            ","26 Nov, 2021",1,0,1,20 Dec 2022
40,NieR Replicant™ ver.1.22474487139... ,4,"#14,480",-50%,"59,99€","29,99€            ","23 Apr, 2021",1,0,0,20 Dec 2022
41,Killing Floor 2 ,4,"#73,181",-75%,"27,99€","6,99€             ","18 Nov, 2016",1,0,0,20 Dec 2022
42,Vampire Survivors: Game + DLC Bundle ,5,"#162,752",-22%,"6,98€5",",42€              ",,1,0,1,20 Dec 2022
43,Life is Strange: True Colors ,4,"#8,434",-60%,"59,99€","23,99€            ","9 Sep, 2021",1,0,0,20 Dec 2022
44,Pathologic Darkness ,4,"#18,834",-39%,"43,98€","26,78€            ",,1,0,0,20 Dec 2022
45,Cities: Skylines - The Classics Bundle ,4,"#160,866",-61%,"70,96€","27,48€            ",,1,1,1,20 Dec 2022
46,NARAKA: BLADEPOINT ,3,"#117,385",-50%,"19,99€","9,99€             ","11 Aug, 2021",1,0,0,20 Dec 2022
47,Among Us ,4,"#569,275",-25%,"3,99€2",",99€              ","16 Nov, 2018",1,0,0,20 Dec 2022
48,TEKKEN 7 ,4,"#53,934",-85%,"39,99€","5,99€             ","1 Jun, 2017",1,0,0,20 Dec 2022
49,Cities: Skylines - Plazas & Promenades ,2,#236,-20%,"14,99€","11,99€            ","14 Sep, 2022",1,1,1,20 Dec 2022
50,River City Girls 2 ,4,#314,-10%,"33,99€","30,59€            ","14 Dec, 2022",1,0,0,20 Dec 2022
